label,loss,train_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,final_train_loss,final_val_loss,weight_norm,bias
bce,bce,0.8657142857142858,0.8866666666666667,0.8536585365853658,0.9333333333333333,0.8917197452229298,0.9413333333333334,0.3309330526280854,0.30291760562460396,3.1511300977430525,-0.3141339880731734
hinge,hinge,0.9,0.92,0.8620689655172413,1.0,0.9259259259259259,0.8958222222222223,0.3175552866042602,0.30065532766388814,2.4696234938415627,-0.5572916666666674
