label,lr,train_accuracy,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,final_train_loss,final_val_loss,weight_norm,bias
eta=0.001,0.001,0.8571428571428571,0.88,0.8433734939759037,0.9333333333333333,0.8860759493670886,0.9424,0.5885689414462854,0.5930248158716829,0.3338143761612455,0.002629464663372726
eta=0.01,0.01,0.86,0.8866666666666667,0.8536585365853658,0.9333333333333333,0.8917197452229298,0.9411555555555555,0.3773031267262934,0.3741407525858973,1.6792821070194501,-0.03764719148141601
eta=0.5,0.5,0.8657142857142858,0.8866666666666667,0.8536585365853658,0.9333333333333333,0.8917197452229298,0.9420444444444444,0.33079487990163126,0.30087324426827616,3.2535697780535706,-0.3600441609356069
eta=1.0,1.0,0.8685714285714285,0.8866666666666667,0.8536585365853658,0.9333333333333333,0.8917197452229298,0.9413333333333334,0.3308313634277416,0.300641396991807,3.2554941016046492,-0.37768819978748425
