split,accuracy,precision,recall,f1,roc_auc
train,0.8657142857142858,0.8486486486486486,0.8920454545454546,0.8698060941828255,0.9310997910135842
test,0.8866666666666667,0.8536585365853658,0.9333333333333333,0.8917197452229298,0.9413333333333334
